Brake.Trq_WB_FL,Brake.Trq_WB_FR,Brake.Trq_WB_RL,Brake.Trq_WB_RR,Car.Distance,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Time,,,
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,,,
Nm,Nm,Nm,Nm,m,,,,,s,,,
0,0,0,0,4.829650192,0.025042428,0.027640259,0.012973906,0.013346377,1.291,,,
0,0,0,0,4.914752741,0.024736423,0.027231837,0.012885451,0.013254249,1.301,,,
0,0,0,0,5.000527748,0.024423473,0.026825694,0.012798125,0.01316369,1.311,,,
0,0,0,0,5.086970468,0.024102906,0.026436711,0.0127121,0.013074067,1.321,,,
0,0,0,0,5.174076105,0.023804145,0.026035769,0.012629086,0.012986838,1.331,,,
0,0,0,0,5.261839873,0.023501121,0.0256423,0.012548738,0.012902763,1.341,,,
0,0,0,0,5.35025703,0.02319116,0.025269093,0.012468878,0.012819525,1.351,,,
0,0,0,0,5.439322849,0.022886615,0.024893513,0.01239125,0.01273903,1.361,,,
0,0,0,0,5.529032639,0.022599427,0.024512136,0.012313711,0.012659018,1.371,,,
0,0,0,0,5.61938171,0.022300698,0.024156071,0.012236084,0.012579194,1.381,,,
0,0,0,0,5.710365372,0.022004254,0.023800798,0.012160174,0.01250208,1.391,,,
0,0,0,0,5.801978989,0.021713233,0.023452455,0.012088089,0.012429469,1.401,,,
0,0,0,0,5.894218029,0.021451155,0.023122817,0.012018243,0.012360511,1.411,,,
0,0,0,0,5.987078109,0.021189362,0.022818359,0.011953172,0.012296985,1.421,,,
0,0,0,0,6.08055504,0.02093642,0.022516435,0.011890485,0.01223612,1.431,,,
0,0,0,0,6.174644811,0.020685583,0.022220528,0.011831051,0.012176998,1.441,,,
0,0,0,0,6.269343527,0.020440172,0.021936204,0.011770043,0.012116584,1.451,,,
0,0,0,0,6.364647312,0.02020276,0.021660825,0.011709072,0.012056259,1.461,,,
0,0,0,0,6.460552303,0.019967295,0.021387901,0.011648772,0.011996643,1.471,,,
0,0,0,0,6.557054706,0.01973352,0.021116469,0.011588539,0.011937101,1.481,,,
0,0,0,0,6.65415078,0.019499827,0.020849075,0.011528461,0.011876692,1.491,,,
0,0,0,0,6.75183679,0.019266583,0.020596219,0.01146614,0.011813379,1.501,,,
0,0,0,0,6.850108967,0.019046007,0.020341882,0.011405211,0.011751267,1.511,,,
0,0,0,0,6.948963583,0.018829409,0.020097625,0.011346556,0.011691315,1.521,,,
0,0,0,0,7.04839703,0.018617706,0.01985772,0.011289046,0.011632528,1.531,,,
0,0,0,0,7.148405811,0.018406192,0.019629613,0.011230817,0.011573015,1.541,,,
0,0,0,0,7.248986463,0.018198743,0.019411486,0.011173955,0.01151482,1.551,,,
0,0,0,0,7.350135569,0.018006517,0.019196857,0.011118406,0.011458022,1.561,,,
0,0,0,0,7.451849812,0.017817238,0.018988432,0.011064447,0.011402855,1.571,,,
0,0,0,0,7.554125983,0.01763146,0.018783186,0.011010715,0.011348068,1.581,,,
0,0,0,0,7.656960948,0.017437138,0.018585021,0.010957862,0.0112938,1.591,,,
0,0,0,0,7.76035163,0.017238447,0.018395687,0.010903593,0.011237719,1.601,,,
0,0,0,0,7.864294956,0.017045502,0.018204968,0.010848769,0.011180751,1.611,,,
0,0,0,0,7.968787833,0.016860988,0.018014465,0.010793088,0.011122759,1.621,,,
0,0,0,0,8.073827155,0.016679395,0.017826825,0.010737116,0.01106522,1.631,,,
0,0,0,0,8.179409828,0.016503314,0.017635429,0.010681978,0.011008369,1.641,,,
0,0,0,0,8.285532806,0.016330848,0.017441139,0.010626619,0.010951646,1.651,,,
0,0,0,0,8.392193067,0.016159512,0.017253149,0.010570514,0.010894088,1.661,,,
0,0,0,0,8.499387574,0.015993303,0.017068131,0.010514217,0.010836313,1.671,,,
0,0,0,0,8.607113284,0.01583349,0.016887382,0.010458067,0.010778728,1.681,,,
0,0,0,0,8.715367166,0.015673533,0.016712729,0.01040284,0.01072177,1.691,,,
0,0,0,0,8.824146227,0.01551656,0.01654187,0.010348002,0.01066502,1.701,,,
0,0,0,0,8.933447498,0.015363519,0.016377434,0.010293318,0.010608286,1.711,,,
0,0,0,0,9.043268024,0.015216575,0.016221462,0.010240247,0.010553037,1.721,,,
0,0,0,0,9.1536049,0.015075613,0.016070712,0.010188599,0.010499143,1.731,,,
0,0,0,0,9.264455288,0.014943101,0.015921334,0.010137829,0.010446045,1.741,,,
0,0,0,0,9.375816407,0.014815918,0.015772583,0.010088343,0.010393964,1.751,,,
0,0,0,0,9.487685525,0.01469302,0.015628684,0.010039786,0.010342858,1.761,,,
0,0,0,0,9.600059946,0.014573966,0.015490619,0.009991971,0.010292582,1.771,,,
0,0,0,0,9.712937018,0.014458136,0.015359903,0.00994442,0.010242727,1.781,,,
0,0,0,0,9.826314109,0.014345958,0.015235363,0.00989742,0.010193528,1.791,,,
0,0,0,0,9.940188618,0.014233504,0.015116227,0.009851475,0.010145336,1.801,,,
0,0,0,0,10.05455799,0.014122607,0.015000934,0.00980597,0.010097537,1.811,,,
0,0,0,0,10.16941969,0.014015965,0.014888862,0.009760592,0.010049867,1.821,,,
0,0,0,0,10.28477121,0.013915051,0.014779771,0.009715458,0.0100025,1.831,,,
0,0,0,0,10.40061004,0.013817535,0.014674434,0.0096708,0.009955675,1.841,,,
0,0,0,0,10.51693368,0.013721158,0.014570277,0.009625074,0.009907802,1.851,,,
0,0,0,0,10.63373961,0.013626181,0.014467532,0.009578817,0.009859437,1.861,,,
0,0,0,0,10.7510253,0.013532766,0.014368579,0.009532388,0.009810965,1.871,,,
0,0,0,0,10.86878817,0.013441791,0.014272854,0.009486441,0.009763041,1.881,,,
0,0,0,0,10.98702564,0.013340364,0.014166565,0.00942984,0.009704296,1.891,,,
0,0,0,0,11.10573487,0.013200939,0.01401697,0.009347518,0.009619976,1.901,,,
0,0,0,0,11.22491208,0.013041056,0.013845152,0.009251426,0.009521628,1.911,,,
0,0,0,0,11.34455263,0.012874349,0.013662064,0.009149314,0.009417338,1.921,,,
0,0,0,0,11.46462375,0.006973077,0.007291492,0.005396481,0.005516474,1.931,,,
0,0,0,0,11.58500533,0.007386042,0.007890251,0.005210766,0.005354691,1.941,,,
0,0,0,0,11.70565777,0.006232787,0.006597536,0.004485443,0.004629202,1.951,,,
0,0,0,0,11.8265537,0.005448263,0.005766699,0.0040117,0.004137909,1.961,,,
0,0,0,0,11.94766345,0.005832117,0.006160449,0.004421161,0.004554424,1.971,,,
0,0,0,0,12.0689869,0.006920936,0.007299386,0.005385973,0.005548631,1.981,,,
0,0,0,0,12.19055511,0.007950881,0.008388849,0.006306014,0.006500903,1.991,,,
0,0,0,0,12.31240817,0.008471277,0.008943875,0.006807716,0.007022665,2.001,,,
0,0,0,0,12.43457444,0.008412271,0.008887564,0.006822133,0.007037676,2.011,,,
0,0,0,0,12.55706217,0.007914109,0.008368042,0.006465625,0.00666941,2.021,,,
0,0,0,0,12.67986126,0.007174796,0.007581506,0.005901148,0.006083744,2.031,,,
0,0,0,0,12.8029493,0.006339637,0.006696857,0.005247802,0.005412161,2.041,,,
0,0,0,0,12.92629755,0.005501901,0.005810481,0.004584469,0.004729245,2.051,,,
0,0,0,0,13.04987517,0.007213445,0.007489081,0.006516035,0.006646879,2.061,,,
0,0,0,0,13.17374834,0.016136032,0.0174789,0.013083997,0.013679995,2.071,,,
0,0,0,0,13.29817668,0.016794879,0.017528025,0.014577365,0.015011667,2.081,,,
0,0,0,0,13.42321247,0.017573642,0.01867098,0.014451748,0.014849767,2.091,,,
0,0,0,0,13.54889803,0.01911875,0.020370385,0.015194809,0.015665459,2.101,,,
0,0,0,0,13.67526433,0.019486068,0.020909715,0.014972042,0.015417736,2.111,,,
0,0,0,0,13.80232445,0.019975213,0.021490755,0.014847088,0.01528159,2.121,,,
0,0,0,0,13.93007857,0.020575365,0.022174712,0.014699047,0.015129621,2.131,,,
0,0,0,0,14.05852773,0.021183502,0.022915512,0.014593249,0.015009575,2.141,,,
0,0,0,0,14.18767262,0.021821551,0.023746062,0.014499103,0.014900046,2.151,,,
0,0,0,0,14.31751409,0.022417134,0.024596455,0.014416405,0.014820194,2.161,,,
0,0,0,0,14.44805289,0.0230317,0.025380909,0.014335056,0.014747847,2.171,,,
0,0,0,0,14.5792898,0.023603238,0.026118137,0.014248777,0.014664629,2.181,,,
0,0,0,0,14.71122549,0.02422379,0.026821515,0.014162011,0.014574323,2.191,,,
0,0,0,0,14.84386052,0.024783246,0.027550619,0.014077604,0.014480285,2.201,,,
0,0,0,0,14.97719552,0.025293142,0.028292177,0.013993799,0.014387683,2.211,,,
0,0,0,0,15.11123104,0.025790609,0.028970538,0.013911456,0.014297629,2.221,,,
0,0,0,0,15.24596765,0.026277263,0.029573994,0.013830966,0.014217087,2.231,,,
0,0,0,0,15.38140582,0.026706288,0.030129142,0.013752027,0.014140358,2.241,,,
0,0,0,0,15.51754604,0.02706236,0.030638514,0.013677945,0.014066285,2.251,,,
0,0,0,0,15.65438874,0.027378554,0.031056402,0.01361449,0.013997473,2.261,,,
0,0,0,0,15.79193426,0.027663466,0.031390432,0.013555081,0.01393561,2.271,,,
0,0,0,0,15.93018293,0.027864059,0.031678077,0.013514074,0.013896466,2.281,,,
0,0,0,0,16.069135,0.027997969,0.031890664,0.013486222,0.01387282,2.291,,,
0,0,0,0,16.20879073,0.028038668,0.031898763,0.013464432,0.013853518,2.301,,,
0,0,0,0,16.34915038,0.028026242,0.031750556,0.013451101,0.01384031,2.311,,,
0,0,0,0,16.49021397,0.027963666,0.031557966,0.013444539,0.01383432,2.321,,,
0,0,0,0,16.6319814,0.027837891,0.03137159,0.013445125,0.013836355,2.331,,,
0,0,0,0,16.77445251,0.027691741,0.031200666,0.01345322,0.013846901,2.341,,,
0,0,0,0,16.91762703,0.027551567,0.031034423,0.013467456,0.013865263,2.351,,,
0,0,0,0,17.06150473,0.027429298,0.030867266,0.013488183,0.013890908,2.361,,,
0,0,0,0,17.20608533,0.027318658,0.030701263,0.013526819,0.013936299,2.371,,,
0,0,0,0,17.35136854,0.02721636,0.030547602,0.013579178,0.013991722,2.381,,,
0,0,0,0,17.49735403,0.027124081,0.030416528,0.01363587,0.014051197,2.391,,,
0,0,0,0,17.64404145,0.027043305,0.030303871,0.013693176,0.01411099,2.401,,,
0,0,0,0,17.79143052,0.026976602,0.030204257,0.01374908,0.014169263,2.411,,,
0,0,0,0,17.93952096,0.026923303,0.030116184,0.013802666,0.014226333,2.421,,,
0,0,0,0,18.08831254,0.026880549,0.030041015,0.013853477,0.014283599,2.431,,,
0,0,0,0,18.23780502,0.026845982,0.029978238,0.013900883,0.014336451,2.441,,,
0,0,0,0,18.38799822,0.026819075,0.029926024,0.013944604,0.014384827,2.451,,,
0,0,0,0,18.53889197,0.026798973,0.029882882,0.01398432,0.014427098,2.461,,,
0,0,0,0,18.69048613,0.02678436,0.029847885,0.014019849,0.014463341,2.471,,,
0,0,0,0,18.84278055,0.02677278,0.029820211,0.014051082,0.014494281,2.481,,,
0,0,0,0,18.99577514,0.026762826,0.029799011,0.01407804,0.014520444,2.491,,,
0,0,0,0,19.1494698,0.026753966,0.029782832,0.014100786,0.014542105,2.501,,,
0,0,0,0,19.30386446,0.026745927,0.029769989,0.014119444,0.014559484,2.511,,,
0,0,0,0,19.45895903,0.026738191,0.029759204,0.014134185,0.014572831,2.521,,,
0,0,0,0,19.61475347,0.026730068,0.029749837,0.014144639,0.014582421,2.531,,,
0,0,0,0,19.77124772,0.026721034,0.029741125,0.014150992,0.014588556,2.541,,,
0,0,0,0,19.92844175,0.026710741,0.029731674,0.014153967,0.014591562,2.551,,,
0,0,0,0,20.08633553,0.026699211,0.029720521,0.01415425,0.014591786,2.561,,,
0,0,0,0,20.24492902,0.026686205,0.029707219,0.014152244,0.01458957,2.571,,,
0,0,0,0,20.4042222,0.026671194,0.029691862,0.014148259,0.014585258,2.581,,,
0,0,0,0,20.56421504,0.026653806,0.029674597,0.014142588,0.014579173,2.591,,,
